artist,song,duration_ms,year,popularity,loudness,speechiness,acousticness,instrumentalness,tempo,genre
Britney Spears,Oops!...I Did It Again,211160,2000,77,-5.444,0.0437,0.3,0.0000177,95.053,pop
blink-182,All The Small Things,167066,1999,79,-4.918,0.0488,0.0103,0,148.726,rock; pop
Faith Hill,Breathe,250546,1999,66,-9.007,0.029,0.173,0,136.859,pop; country
Bon Jovi,It's My Life,224493,2000,78,-4.063,0.0466,0.0263,0.0000135,119.992,rock; metal
*NSYNC,Bye Bye Bye,200560,2000,65,-4.806,0.0516,0.0408,0.00104,172.656,pop
Sisqo,Thong Song,253733,1999,69,-6.959,0.0654,0.119,0.0000964,121.549,hip hop; pop; R&B
Eminem,The Real Slim Shady,284200,2000,86,-4.244,0.0572,0.0302,0,104.504,hip hop
Robbie Williams,Rock DJ,258560,2000,68,-4.264,0.0322,0.0267,0,103.035,pop; rock
Destiny's Child,Say My Name,271333,1999,75,-3.525,0.102,0.273,0,138.009,pop; R&B
Modjo,Lady - Hear Me Tonight,307153,2001,77,-5.627,0.0379,0.00793,0.0293,126.041,Dance/Electronic
Gigi D'Agostino,L'Amour Toujours,238759,2011,1,-7.932,0.0292,0.0328,0.0482,139.066,pop
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,268863,1999,56,-9.664,0.0287,0.0813,0.324,129.962,pop
Bomfunk MC's,Freestyler,306333,2000,55,-5.798,0.0989,0.0291,0.325,163.826,pop
Sting,Desert Rose,285960,1999,62,-7.92,0.0304,0.011,0,111.989,rock; pop
Melanie C,Never Be The Same Again,294200,1999,61,-5.153,0.0478,0.0921,0,160.067,pop; Dance/Electronic
Aaliyah,Try Again,284000,2002,53,-5.642,0.29,0.0807,0,93.02,hip hop; pop; R&B
Anastacia,I'm Outta Love - Radio Edit,245400,1999,64,-5.8,0.056,0.396,0,119.41,pop
Alice Deejay,Better Off Alone,214883,2000,73,-6.149,0.0552,0.00181,0.691,136.953,pop
Gigi D'Agostino,The Riddle,285426,1999,64,-6.87,0.0369,0.0173,0.00152,127.002,pop
Dr. Dre,The Next Episode,161506,1999,82,-2.429,0.27,0.0281,0,95.295,hip hop
Linkin Park,In the End,216880,2000,83,-5.87,0.0584,0.00958,0,105.143,rock; metal
Tom Jones,Sexbomb,211893,1999,65,-3.94,0.0446,0.144,0.0000138,122.979,rock; Folk/Acoustic; easy listening
Sonique,It Feels So Good,240866,2000,62,-7.278,0.0304,0.0117,0.00103,135.012,pop
M.O.P.,Cold as Ice,244466,2000,54,-5.425,0.143,0.0421,0,85.565,hip hop
Melanie C,I Turn To You,352173,1999,54,-5.825,0.0327,0.00117,0.00167,135.205,pop; Dance/Electronic
Limp Bizkit,Take A Look Around,321040,2000,72,-5.607,0.046,0.0175,0.306,101.968,metal
Darude,Sandstorm,225493,2001,69,-7.984,0.0465,0.141,0.985,136.065,pop; Dance/Electronic
Da Brat,What'chu Like (feat. Tyrese),221160,2000,53,-8.951,0.24,0.017,0,99.974,hip hop; pop; R&B
Moloko,The Time Is Now,318280,2000,54,-10.644,0.165,0.35,0.000129,127.962,pop; Dance/Electronic
Chicane,Don't Give Up,210786,2016,47,-9.635,0.0419,0.00145,0.504,132.017,Dance/Electronic
DMX,Party Up,268866,1999,71,-3.302,0.347,0.0738,0,201.936,hip hop; pop
Debelah Morgan,Dance with Me,220106,2000,49,-7.981,0.0373,0.309,0.000645,115.005,pop; R&B
